,Score,sentence,Sentiment
53,0,rt this tweet of bibi explains why she is having a prob with demonetization in first part she says she can t  ,Neutral
54,0,demonetization is communal and black money is secular,Neutral
55,-2,rt doltiwal i mean jaichandkejriwal is hurt by demonetization as the same has rendered useless ed u a u bd ed u b u acquired funds no wo  ,Negative
56,0,rt demonetization hardly affects tax dodgers amp netas who excel in cashlesscorruption amp have multiplied bad weal  ,Neutral
57,0,rt before and after gandhi ji heard they are standing there against demonetization t co nhek tpg,Neutral
58,0,section issued by district magistrate indore prohibiting socialmedia posts on demonetization why citizen t co tn anbtsi,Neutral
59,1,rt cpi m opposes co op banks in west bengal but supports them in kerala y pawar u turned on demonetization t co thzav r  ,Positive
60,-3,rt roshankar harvard s larry summers calls demonetization as poor policy with disproportionate negative impact o   t co vcwwjxu wb,Negative
61,0,rt demonetization gives hilarious shagun suggestion to those struggling with wedding season t  ,Neutral
62,0,rt rs lakh looted from a bank in kishtwar in j amp k third such incident since demonetization that s how terrorists have  ,Neutral
63,0,rt demonetization the time has come to put mudra into action writes prof r vaidyanathan t co p hkkdva b   ,Neutral
64,1,rt demonetization move of modi who is supporting it who is opposing it and why a complete coverage of all parties t  ,Positive
65,1,rt question in narendra modi app where pm is taking feedback if people support his demonetization strategy t co pygk rmg r,Positive
66,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
67,-2,effects of sluggish economy negative iip demonetization does the great leader even bother except continued dra   t co duvbmtei y,Negative
68,-1,rt ts is exactly what pappu amp opposition has done to themselves by opposing demonetization now none can stop modi bandwagon ti  ,Negative
69,-3,rt roshankar harvard s larry summers calls demonetization as poor policy with disproportionate negative impact o   t co j jzxby,Negative
70,0,rt this tweet of bibi explains why she is having a prob with demonetization in first part she says she can t  ,Neutral
71,-1,rt here struggling for one answer against demonetization he should have taken some congress leader lik  ,Negative
72,0,demonetization and the indian economy an interview by doordarshan with sri s gurumurthy t co ldebcadaer,Neutral
73,0,rt after the demonetization searches about narendramodi s app are trending on app stores t co zetkrqqclx,Neutral
74,-1,rt former finsec rbi dy governor cbdt chair harvard professor lambaste demonetization if not for aam aadmi listen to th  ,Negative
75,1,rt survey result so far by on demonetization lakh response in hrs supports note ban meradeshbadalraha  ,Positive
76,2,rt after much contemplation i have come to the conclusion that nothing explains modi s demonetization better than monumental  ,Positive
77,0,rt what demonetization indicates is loss of freedom besides laws constitution court cops govern people govt is using m  ,Neutral
78,0,rt did you vote on demonetization on modi survey app,Neutral
79,-1,ppl of india extending overwhelming supprt to ji s crusade agnst black money survey    t co axqd fowpk,Negative
80,-4,rt harvard s larry summers calls demonetization as poor policy with disproportionate negative impact on poor trade t  ,Negative
81,0,rt rs lakh looted from a bank in kishtwar in j amp k third such incident since demonetization that s how terrorists have  ,Neutral
82,2,rt demonetization survey results after hours lacs opinions amazing response amp commitment in fight against blackmoney   ,Positive
83,0,people from rural areas are coming to delhi just to withdraw cash they have given up on govt logistics demonetization,Neutral
84,0,rt critical question was paytm informed about demonetization edict by pm it s clearly fishy and requires full disclosure amp   ,Neutral
85,0,rt demonetization gives hilarious shagun suggestion to those struggling with wedding season t  ,Neutral
86,-4,rt harvard s larry summers calls demonetization as poor policy with disproportionate negative impact on poor trade t  ,Negative
87,-3,rt roshankar harvard s larry summers calls demonetization as poor policy with disproportionate negative impact o   t co vv qtrqqsi,Negative
88,1,rt calling all nationalists to join walk for corruptionfreeindia and spread the benefits of demonetization among the mas  ,Positive
89,2,rt after much contemplation i have come to the conclusion that nothing explains modi s demonetization better than monumental  ,Positive
90,0,rt before and after gandhi ji heard they are standing there against demonetization t co nhek tpg,Neutral
91,0,demonetization of population is accepting it as country building measure why these so called politicians opp   t co f j tzjz,Neutral
92,0,rt teacher is there anybody who is absent today no response teacher says attendance demonetization app survey   ,Neutral
93,-3,days after demonetization country is still suffering m acute shortage of currency notes big loss economy share market tumbling sos,Negative
94,0,rt did you vote on demonetization on modi survey app,Neutral
95,-1,rt man ends life over fund shortage ahead of daughter  s wedding in gujarat demonetization t co dgai cf y t  ,Negative
96,1,rt putting nation over party politics nitishkumar supports pm on demonetization t co uodwxdpmmg,Positive
97,-2,rt doltiwal i mean jaichandkejriwal is hurt by demonetization as the same has rendered useless ed u a u bd ed u b u acquired funds no wo  ,Negative
98,1,rt calling all nationalists to join walk for corruptionfreeindia and spread the benefits of demonetization among the mas  ,Positive
99,0,rt as of today thousand atms are functioning sbi chairman smt arundhati bhattacharya demonetization,Neutral
100,-1,rt a man shaved his head at jantar mantar in protest against demonetization on th day of the move t co iexuia j x,Negative
101,-1,very unfortunate india slips due to demonetization t co qhcgybpkw,Negative
102,0,what demonetization indicates is loss of freedom besides laws constitution court cops govern people govt is using money control people,Neutral
103,-4,rt harvard s larry summers calls demonetization as poor policy with disproportionate negative impact on poor trade t  ,Negative
104,0,rt demonetization the time has come to put mudra into action writes prof r vaidyanathan t co p hkkdva b   ,Neutral
105,0,rt cooperative banks shut down sowing season completely disrupted agri markets amp farmers badly affected demonetization,Neutral
106,1,rt survey result so far by on demonetization lakh response in hrs supports note ban meradeshbadalraha  ,Positive
107,-2,rt delete pathetic pm who conducts false poll and self praises himself demonetization boguspoll modiscaredofparliament  ,Negative
108,0,rt before and after gandhi ji heard they are standing there against demonetization t co nhek tpg,Neutral
109,0,rt demonetization gives hilarious shagun suggestion to those struggling with wedding season t  ,Neutral
110,0,rt teacher is there anybody who is absent today no response teacher says attendance demonetization app survey   ,Neutral
111,-1,demonetization t co kq bsj is when pm is in opposition is out of parliament,Negative
112,-2,rt doltiwal i mean jaichandkejriwal is hurt by demonetization as the same has rendered useless ed u a u bd ed u b u acquired funds no wo  ,Negative
113,0,rt watch what thinks about demonetization t co vxt c zy,Neutral
114,0,rt frankly i don t understand why doesn t address parlmnt on demonetization it s his duty amp wil  ,Neutral
115,0,rt teacher is there anybody who is absent today no response teacher says attendance demonetization app survey   ,Neutral
116,0,rt teacher is there anybody who is absent today no response teacher says attendance demonetization app survey   ,Neutral
117,-1,rt ts is exactly what pappu amp opposition has done to themselves by opposing demonetization now none can stop modi bandwagon ti  ,Negative
118,0,rt this tweet of bibi explains why she is having a prob with demonetization in first part she says she can t  ,Neutral
119,-2,rt doltiwal i mean jaichandkejriwal is hurt by demonetization as the same has rendered useless ed u a u bd ed u b u acquired funds no wo  ,Negative
120,0,rt teacher is there anybody who is absent today no response teacher says attendance demonetization app survey   ,Neutral
121,0,rt did you vote on demonetization on modi survey app,Neutral
122,0,rt demonetization gives hilarious shagun suggestion to those struggling with wedding season t  ,Neutral
123,1,rt demonetization move of modi who is supporting it who is opposing it and why a complete coverage of all parties t  ,Positive
124,0,rt this tweet of bibi explains why she is having a prob with demonetization in first part she says she can t  ,Neutral
125,0,aam aadmi punished for sins of blackmoney hoarders sbi slashes deposit rates by demonetization netascashin t co rqjsdigvcg,Neutral
126,0,teacher is there anybody who is absent today no response teacher says attendance demonetization app survey ed u a u bd ed u b u ed u a u bd ed u b u ed u a u bd ed u b u a ed u a u bd ed u b u ae,Neutral
127,1,rt survey result so far by on demonetization lakh response in hrs supports note ban meradeshbadalraha  ,Positive
128,0,rt the queues are not getting longer but are getting shorter day by day chanda kochar icic md and ceo demonetization t  ,Neutral
129,0,rt this tweet of bibi explains why she is having a prob with demonetization in first part she says she can t  ,Neutral
130,1,rt giving cash through mini atms to people in hinterland indiakadil helping rural people in demonetization  ,Positive
131,0,rt did you vote on demonetization on modi survey app,Neutral
132,0,rt watch briefing on demonetization by dea secy this morning here t co tdj a uo u,Neutral
133,0,seems deskbhakt was in hibernation mode when gps enabled rs was launched by modo demonetization ed u a u bd ed u b u ed u a u bd ed u b u ed u a u bd ed u b u,Neutral
134,-4,rt harvard s larry summers calls demonetization as poor policy with disproportionate negative impact on poor trade t  ,Negative
135,0,rt did you vote on demonetization on modi survey app,Neutral
136,0,rt looks ambit capital literally choked with demonetization come on u can t lower d gdp nos by huge margin perhaps they  ,Neutral
137,0,rt demonetization gives hilarious shagun suggestion to those struggling with wedding season t  ,Neutral
138,0,rt takes a bite of the governemnt big demonetization pie becomes first paymentbank to go live t co gzv  ,Neutral
139,2,rt demonetization survey results after hours lacs opinions amazing response amp commitment in fight against blackmoney   ,Positive
140,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
141,-1,rt former finsec rbi dy governor cbdt chair harvard professor lambaste demonetization if not for aam aadmi listen to th  ,Negative
142,-4,rt harvard s larry summers calls demonetization as poor policy with disproportionate negative impact on poor trade t  ,Negative
143,-2,the opposition is getting troubled because all their blackmoney have become just a piece of paper due to demonetization u c u u e u e u u u f u a u u d u,Negative
144,-4,rt harvard s larry summers calls demonetization as poor policy with disproportionate negative impact on poor trade t  ,Negative
145,-4,rt harvard s larry summers calls demonetization as poor policy with disproportionate negative impact on poor trade t  ,Negative
146,-4,rt harvard s larry summers calls demonetization as poor policy with disproportionate negative impact on poor trade t  ,Negative
147,0,rt demonetization gives hilarious shagun suggestion to those struggling with wedding season t  ,Neutral
148,1,please read alternative side of story also on demonetization amp support to pm modi t co sljoymby m,Positive
149,1,the effect of demonetization has already shared by action are more important than words   t co tbcc s etc,Positive
150,0,rt joined the line of opposition mps demonstrating solidarity on demonetization amp demanding that address parliame  ,Neutral
151,0,rt demonetization gives hilarious shagun suggestion to those struggling with wedding season t  ,Neutral
152,1,after much contemplation i have come to the conclusion that nothing explains modi s demonetization better than monumental stupidity,Positive
153,0,rt rs lakh looted from a bank in kishtwar in j amp k third such incident since demonetization that s how terrorists have  ,Neutral
154,-1,rt former finsec rbi dy governor cbdt chair harvard professor lambaste demonetization if not for aam aadmi listen to th  ,Negative
155,0,rt demonetization gives hilarious shagun suggestion to those struggling with wedding season t  ,Neutral
156,1,rt days before demonetization announcement sold his heritage shares clearly evident that he had prior knowledge of the  ,Positive
157,0,rt in view of current situation rtgs time has been extended upto pm till th november demonetization http  ,Neutral
158,0,rt zeenewssports demonetization harbhajan singh gives hilarious shagun suggestion to those struggling with we   t co tacfmkf cs,Neutral
159,0,rt this tweet of bibi explains why she is having a prob with demonetization in first part she says she can t  ,Neutral
160,0,rt this tweet of bibi explains why she is having a prob with demonetization in first part she says she can t  ,Neutral
161,1,rt survey result so far by on demonetization lakh response in hrs supports note ban meradeshbadalraha  ,Positive
162,0,rt demonetization gives hilarious shagun suggestion to those struggling with wedding season t  ,Neutral
163,1,rt days before demonetization announcement sold his heritage shares clearly evident that he had prior knowledge of the  ,Positive
164,0,rt demonetization gives hilarious shagun suggestion to those struggling with wedding season t  ,Neutral
165,-1,rt former finsec rbi dy governor cbdt chair harvard professor lambaste demonetization if not for aam aadmi listen to th  ,Negative
166,0,rt before and after gandhi ji heard they are standing there against demonetization t co nhek tpg,Neutral
167,0,rt demonetization gives hilarious shagun suggestion to those struggling with wedding season t  ,Neutral
168,-1,former finsec rbi dy governor cbdt chair harvard professor lambaste demonetization if not for aam aadmi listen to them no pm modi,Negative
169,0,rt zeenewssports demonetization harbhajan singh gives hilarious shagun suggestion to those struggling with we   t co ojrbcbymh,Neutral
170,1,rt survey result so far by on demonetization lakh response in hrs supports note ban meradeshbadalraha  ,Positive
171,-1,rt the modi app on demonetization proves once again that the govt is totally indifferent to the mounting misery and hards  ,Negative
172,0,rt how come those people crying for line in banks are not crying for line ups here in demonetization t co ixy   ,Neutral
173,0,rt demonetization gives hilarious shagun suggestion to those struggling with wedding season t  ,Neutral
174,0,rt this tweet of bibi explains why she is having a prob with demonetization in first part she says she can t  ,Neutral
175,0,rt before and after gandhi ji heard they are standing there against demonetization t co nhek tpg,Neutral
176,0,rt before and after gandhi ji heard they are standing there against demonetization t co nhek tpg,Neutral
177,0,rt demonetization gives hilarious shagun suggestion to those struggling with wedding season t  ,Neutral
178,0,rt rs lakh looted from a bank in kishtwar in j amp k third such incident since demonetization that s how terrorists have  ,Neutral
179,0,demonetization gives hilarious shagun suggestion to those struggling with wedding season   t co qne kgqao,Neutral
180,-1,rt a man shaved his head at jantar mantar in protest against demonetization on th day of the move t co iexuia j x,Negative
181,0,rt critical question was paytm informed about demonetization edict by pm it s clearly fishy and requires full disclosure amp   ,Neutral
182,1,rt survey result so far by on demonetization lakh response in hrs supports note ban meradeshbadalraha  ,Positive
183,0,rt how come those people crying for line in banks are not crying for line ups here in demonetization t co ixy   ,Neutral
184,0,rt frankly i don t understand why doesn t address parlmnt on demonetization it s his duty amp wil  ,Neutral
185,-1,rt ts is exactly what pappu amp opposition has done to themselves by opposing demonetization now none can stop modi bandwagon ti  ,Negative
186,-1,rt modi s demonetization received massive public approval so why is opposition worried about common man and create ruckus i  ,Negative
187,1,rt survey result so far by on demonetization lakh response in hrs supports note ban meradeshbadalraha  ,Positive
188,-4,harvard s larry summers calls demonetization as poor policy with disproportionate negative impact on poor trade t co tt sfm g,Negative
189,0,rt frankly i don t understand why doesn t address parlmnt on demonetization it s his duty amp wil  ,Neutral
190,0,rt demonetization the ultimate weapon against black economy t co fwveuh de via,Neutral
191,0,rt joined the line of opposition mps demonstrating solidarity on demonetization amp demanding that address parliame  ,Neutral
192,0,monumental blunder or monumental plunder or both demonetization,Neutral
193,-1,rt and they say demonetization is failure t co wnjiuqihdw,Negative
194,0,rt this tweet of bibi explains why she is having a prob with demonetization in first part she says she can t  ,Neutral
195,-1,modi acted against national interest the way to cashless economy need not be demonetization a badly planned move,Negative
196,0,rt the effect of demonetization t co a of zh f,Neutral
197,0,rt more than fish vendors across kolkata have started using e wallets before demonetization this number was zero thi  ,Neutral
198,0,rt critical question was paytm informed about demonetization edict by pm it s clearly fishy and requires full disclosure amp   ,Neutral
199,1,rt survey result so far by on demonetization lakh response in hrs supports note ban meradeshbadalraha  ,Positive
200,0,rt did you vote on demonetization on modi survey app,Neutral
201,0,rt before and after gandhi ji heard they are standing there against demonetization t co nhek tpg,Neutral
202,0,rt the effect of demonetization t co a of zh f,Neutral
203,0,rt the queues are not getting longer but are getting shorter day by day chanda kochar icic md and ceo demonetization t  ,Neutral
204,0,rt when was the last time you saw naveen patnaik or chandrababu naidu being interviewed on bbc or ndtv on demonetization,Neutral
205,1,rt demonetization move of modi who is supporting it who is opposing it and why a complete coverage of all parties t  ,Positive
206,0,rt after the demonetization searches about narendramodi s app are trending on app stores t co zetkrqqclx,Neutral
207,0,rt the effect of demonetization t co a of zh f,Neutral
208,-1,rt a man shaved his head at jantar mantar in protest against demonetization on th day of the move t co iexuia j x,Negative
209,0,rt before and after gandhi ji heard they are standing there against demonetization t co nhek tpg,Neutral
210,0,rt rs lakh looted from a bank in kishtwar in j amp k third such incident since demonetization that s how terrorists have  ,Neutral
211,1,rt survey result so far by on demonetization lakh response in hrs supports note ban meradeshbadalraha  ,Positive
212,0,rt this tweet of bibi explains why she is having a prob with demonetization in first part she says she can t  ,Neutral
213,0,rt a housewife s view on demonetization t co nfwuizujod,Neutral
214,0,rt md itzcash was live on et talking about the impact of demonetization towards digitization in india t c  ,Neutral
215,-1,rt a man shaved his head at jantar mantar in protest against demonetization on th day of the move t co iexuia j x,Negative
216,-3,rt difficult to verify but if true points to orchestrated campaign to discredit demonetization with paid fear mongers htt  ,Negative
217,0,rt before and after gandhi ji heard they are standing there against demonetization t co nhek tpg,Neutral
218,0,rt critical question was paytm informed about demonetization edict by pm it s clearly fishy and requires full disclosure amp   ,Neutral
219,0,rt this tweet of bibi explains why she is having a prob with demonetization in first part she says she can t  ,Neutral
220,-1,rt the modi app on demonetization proves once again that the govt is totally indifferent to the mounting misery and hards  ,Negative
221,0,rt l amp t is retrenching employees hope none of the supporters of demonetization are included,Neutral
222,0,rt this tweet of bibi explains why she is having a prob with demonetization in first part she says she can t  ,Neutral
223,0,rt rs lakh looted from a bank in kishtwar in j amp k third such incident since demonetization that s how terrorists have  ,Neutral
224,1,rt days before demonetization announcement sold his heritage shares clearly evident that he had prior knowledge of the  ,Positive
225,-1,rt this is exactly how some people behaving on demonetization since modi did it lets oppose it if sonia gandhi have done i  ,Negative
226,-1,rt today i delivered a speech on various issues including blackmoney n demonetization at   ,Negative
227,0,rt economy and cost of demonetization t co ywao mes g,Neutral
228,-1,rt ts is exactly what pappu amp opposition has done to themselves by opposing demonetization now none can stop modi bandwagon ti  ,Negative
229,0,rt before and after gandhi ji heard they are standing there against demonetization t co nhek tpg,Neutral
230,0,rt before and after gandhi ji heard they are standing there against demonetization t co nhek tpg,Neutral
231,0,rt this tweet of bibi explains why she is having a prob with demonetization in first part she says she can t  ,Neutral
232,0,rt before and after gandhi ji heard they are standing there against demonetization t co nhek tpg,Neutral
233,0,rt no will say this fire was caused because of demonetization and is responsible t co   ,Neutral
234,-1,rt most people are with you on demonetization pl run a poll on where citizens face most harassment in the  ,Negative
235,0,rt demonetization s impact on the india retail sector re tales by pankaj renjhen et retail t co avcytihdth,Neutral
236,1,rt putting nation over party politics nitishkumar supports pm on demonetization t co uodwxdpmmg,Positive
237,-1,rt the modi app on demonetization proves once again that the govt is totally indifferent to the mounting misery and hards  ,Negative
238,0,rt a world economist is rubbishing demonetization in india and mind it he doesn t have to score brownie points in indian politi  ,Neutral
239,2,rt demonetization survey results after hours lacs opinions amazing response amp commitment in fight against blackmoney   ,Positive
240,0,rt did you vote on demonetization on modi survey app,Neutral
241,0,rt did you vote on demonetization on modi survey app,Neutral
242,0,rt gurugram haryana post office employees provide cash exchange to patients in hospitals demonetization t co ugmxup   ,Neutral
243,0,rt did you vote on demonetization on modi survey app,Neutral
244,0,rt this tweet of bibi explains why she is having a prob with demonetization in first part she says she can t  ,Neutral
245,0,rt did you vote on demonetization on modi survey app,Neutral
246,0,rt did you vote on demonetization on modi survey app,Neutral
247,0,rt a world economist is rubbishing demonetization in india and mind it he doesn t have to score brownie points in indian politi  ,Neutral
248,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
249,0,rt did you vote on demonetization on modi survey app,Neutral
250,2,rt demonetization survey results after hours lacs opinions amazing response amp commitment in fight against blackmoney   ,Positive
251,1,rt demonetization move of modi who is supporting it who is opposing it and why a complete coverage of all parties t  ,Positive
252,2,yes we should always rely on private psephologists agencies always reliable can vouch for it demonetization,Positive
253,-1,rt demonetization is the nd word trending after intolerance thanks pappu kejri mamta vishaljansabha khulkedulke ind  ,Negative
254,0,rt this tweet of bibi explains why she is having a prob with demonetization in first part she says she can t  ,Neutral
255,0,rt today i saw black money hoarders out of crore standing in ques outside parliament against demonetization t  ,Neutral
256,0,rt before and after gandhi ji heard they are standing there against demonetization t co nhek tpg,Neutral
257,-1,rt day namovolunteers had meeting with ji over demonetization decided expose opposition by u u e u u u a u b u u e   ,Negative
258,0,rt this tweet of bibi explains why she is having a prob with demonetization in first part she says she can t  ,Neutral
259,-1,rt the modi app on demonetization proves once again that the govt is totally indifferent to the mounting misery and hards  ,Negative
260,2,exceptional response by the people in support of demonetization t co antalytwyo,Positive
261,0,rt this tweet of bibi explains why she is having a prob with demonetization in first part she says she can t  ,Neutral
262,1,rt even if you re white money amp even if you re unaffected this demonetization move has given a lot of folks a reason to pa  ,Positive
263,0,mr dust o bin of tmc to release mamta app world wide to look after demonetization support,Neutral
264,0,rt this tweet of bibi explains why she is having a prob with demonetization in first part she says she can t  ,Neutral
265,0,rt demonetization now affecting even the dumb rich who now have to use public transport t co rw wzat o,Neutral
266,0,cousin fired staff today with a promise rehire in months says no new orders no cash to pay them heartbreaking demonetization,Neutral
267,0,i thought only black money holder wud hate demonetization no there r many we cal them by many names like c l etc etc demonetization,Neutral
268,-2,more bhakt abuse more modi reduce demonetization open pandora box everyone knows modi has no brain everything go in drain,Negative
269,0,how can a pm who can t even control his emotions control an entire nation demonetization notadefaulter pmmodi notprocongress ed u a u be ed u b u ed u a u bd ed u b u,Neutral
270,0,rt this tweet of bibi explains why she is having a prob with demonetization in first part she says she can t  ,Neutral
271,0,rt the effect of demonetization t co a of zh f,Neutral
272,0,rt this tweet of bibi explains why she is having a prob with demonetization in first part she says she can t  ,Neutral
273,0,rt rs lakh looted from a bank in kishtwar in j amp k third such incident since demonetization that s how terrorists have  ,Neutral
274,-1,rt demonetization is disaster,Negative
275,-1,rt the modi app on demonetization proves once again that the govt is totally indifferent to the mounting misery and hards  ,Negative
276,0,rt this tweet of bibi explains why she is having a prob with demonetization in first part she says she can t  ,Neutral
277,0,rt rs lakh looted from a bank in kishtwar in j amp k third such incident since demonetization that s how terrorists have  ,Neutral
278,-2,rt doltiwal i mean jaichandkejriwal is hurt by demonetization as the same has rendered useless ed u a u bd ed u b u acquired funds no wo  ,Negative
279,1,rt survey result so far by on demonetization lakh response in hrs supports note ban meradeshbadalraha  ,Positive
280,-1,rt demonetization is disaster,Negative
281,-1,rt demonetization is disaster,Negative
282,-1,rt demonetization is disaster,Negative
283,-1,rt demonetization is disaster,Negative
284,-1,rt no issues with demonetization my maid s son exchanged money in just mins that too when she doesn t have a son and i  ,Negative
285,-1,rt demonetization is disaster,Negative
286,0,rt before and after gandhi ji heard they are standing there against demonetization t co nhek tpg,Neutral
287,1,would be interesting to look at this research again in light of demonetization a real blackswan    t co cvun wf is,Positive
288,-1,demonetization is disaster,Negative
289,1,rt calling all nationalists to join walk for corruptionfreeindia and spread the benefits of demonetization among the mas  ,Positive
290,0,rt before and after gandhi ji heard they are standing there against demonetization t co nhek tpg,Neutral
291,0,rt did you vote on demonetization on modi survey app,Neutral
292,-2,rt doltiwal i mean jaichandkejriwal is hurt by demonetization as the same has rendered useless ed u a u bd ed u b u acquired funds no wo  ,Negative
293,1,things are very fast getting back to normal no long queues in bhopal banks and atms anymore demonetization,Positive
294,0,how you guys reached lakh ghotala in demonetization process pls explain the number,Neutral
295,1,world is full of smart people demonetization t co jtlnz hd d,Positive
296,0,rt rs lakh looted from a bank in kishtwar in j amp k third such incident since demonetization that s how terrorists have  ,Neutral
297,0,rt demonetization has long term benefits pain now is temporary let us help nation to make india corruption free,Neutral
298,0,rt rs lakh looted from a bank in kishtwar in j amp k third such incident since demonetization that s how terrorists have  ,Neutral
299,0,rt this tweet of bibi explains why she is having a prob with demonetization in first part she says she can t  ,Neutral
300,0,rt rs lakh looted from a bank in kishtwar in j amp k third such incident since demonetization that s how terrorists have  ,Neutral
301,1,rt wow demonetization survey response lakh citizens in little over hrs participate now t co pwvrld tsg via  ,Positive
302,0,rt before and after gandhi ji heard they are standing there against demonetization t co nhek tpg,Neutral
303,0,rt this tweet of bibi explains why she is having a prob with demonetization in first part she says she can t  ,Neutral
304,-2,rt doltiwal i mean jaichandkejriwal is hurt by demonetization as the same has rendered useless ed u a u bd ed u b u acquired funds no wo  ,Negative
305,0,rt after the demonetization searches about narendramodi s app are trending on app stores t co zetkrqqclx,Neutral
306,0,rt not surgical strike it s the nuclear button this is modi s pokhran kudos demonetization,Neutral
307,0,rt and the oscar goes to mr u d u e u u u ed u a u bd ed u b u a ed u a u bd ed u b u a ed u a u bd ed u b u a ed u a u bd ed u b u ad demonetization t co obqrhlnsl,Neutral
308,1,amazing how videos showing ppl happy with demonetization end up as mobile forwards unhappy videos land on tl prestitutes,Positive
